sequence_id,model,cross_entropy,perplexity
seq9816,baseline,1.3804281,3.9766037
seq9817,baseline,1.3903286,4.0161695
seq9818,baseline,1.3858305,3.998145
seq9819,baseline,1.3969312,4.042774
seq9820,baseline,1.3773903,3.9645414
seq9821,baseline,1.3747087,3.9539244
seq9822,baseline,1.389593,4.0132165
seq9823,baseline,1.3900067,4.014877
seq9824,baseline,1.3850896,3.995184
seq9825,baseline,1.3796924,3.9736793
seq9826,baseline,1.3926071,4.025331
seq9827,baseline,1.388787,4.009983
seq9828,baseline,1.3792748,3.9720201
seq9829,baseline,1.3816564,3.9814913
seq9830,baseline,1.3839135,3.990488
seq9831,baseline,1.3753461,3.9564455
seq9832,baseline,1.3856251,3.9973238
seq9833,baseline,1.3861057,3.9992452
seq9834,baseline,1.3821968,3.9836433
seq9835,baseline,1.3806394,3.977444
seq9836,baseline,1.3798317,3.9742324
seq9837,baseline,1.3907951,4.0180435
seq9838,baseline,1.3882332,4.007763
seq9839,baseline,1.3907341,4.0177984
seq9840,baseline,1.3831753,3.987543
seq9841,baseline,1.3870549,4.0030437
seq9842,baseline,1.3877575,4.005857
seq9843,baseline,1.3851296,3.9953434
seq9844,baseline,1.3952304,4.0359044
seq9845,baseline,1.382859,3.986282
seq9846,baseline,1.384558,3.9930606
seq9847,baseline,1.3761655,3.9596894
seq9848,baseline,1.3820635,3.9831123
seq9849,baseline,1.3781351,3.9674957
seq9850,baseline,1.3935349,4.0290675
seq9851,baseline,1.3901339,4.0153875
seq9852,baseline,1.389526,4.012948
seq9853,baseline,1.3773898,3.9645395
seq9854,baseline,1.38239,3.9844134
seq9855,baseline,1.3944944,4.032935
seq9856,baseline,1.3815373,3.981017
seq9857,baseline,1.3780789,3.967273
seq9858,baseline,1.3827397,3.9858062
seq9859,baseline,1.3767899,3.9621623
seq9860,baseline,1.3854313,3.996549
seq9861,baseline,1.3841258,3.9913356
seq9862,baseline,1.3872566,4.003851
seq9863,baseline,1.3900429,4.0150223
seq9864,baseline,1.3936571,4.0295596
seq9865,baseline,1.3859584,3.9986565
seq9866,baseline,1.3854669,3.9966915
seq9867,baseline,1.3859981,3.9988153
seq9868,baseline,1.3824377,3.984603
seq9869,baseline,1.3925784,4.025215
seq9870,baseline,1.3919704,4.022769
seq9871,baseline,1.3833411,3.9882045
seq9872,baseline,1.3861108,3.999266
seq9873,baseline,1.3885369,4.0089808
seq9874,baseline,1.3744212,3.952788
seq9875,baseline,1.3798077,3.9741373
seq9876,baseline,1.3806167,3.9773536
seq9877,baseline,1.3786511,3.969544
seq9878,baseline,1.3929343,4.0266485
seq9879,baseline,1.3891159,4.0113025
seq9880,baseline,1.3943964,4.03254
seq9881,baseline,1.3829023,3.9864547
seq9882,baseline,1.3942459,4.031933
seq9883,baseline,1.3775408,3.9651384
seq9884,baseline,1.3833805,3.9883614
seq9885,baseline,1.3863134,4.0000763
seq9886,baseline,1.3845352,3.9929698
seq9887,baseline,1.3840705,3.9911144
seq9888,baseline,1.3790463,3.9711127
seq9889,baseline,1.3852746,3.9959233
seq9890,baseline,1.3976208,4.045563
seq9891,baseline,1.3780348,3.967098
seq9892,baseline,1.3878659,4.0062914
seq9893,baseline,1.3862495,3.9998207
seq9894,baseline,1.3842797,3.9919498
seq9895,baseline,1.3818396,3.982221
seq9896,baseline,1.3908001,4.0180635
seq9897,baseline,1.3829861,3.9867883
seq9898,baseline,1.3934494,4.0287232
seq9899,baseline,1.3858229,3.9981143
seq9900,baseline,1.37783,3.9662852
seq9901,baseline,1.3871886,4.0035787
seq9902,baseline,1.4045696,4.0737734
seq9903,baseline,1.3885721,4.0091214
seq9904,baseline,1.3875526,4.0050364
seq9905,baseline,1.3859429,3.9985948
seq9906,baseline,1.3884052,4.008452
seq9907,baseline,1.3755077,3.9570854
seq9908,baseline,1.3925608,4.0251446
seq9909,baseline,1.4017895,4.0624633
seq9910,baseline,1.3925095,4.024938
seq9911,baseline,1.38396,3.9906735
seq9912,baseline,1.3922304,4.0238147
seq9913,baseline,1.3800213,3.9749866
seq9914,baseline,1.38694,4.0025835
seq9915,baseline,1.3910817,4.0191956
seq9916,baseline,1.3875898,4.005185
seq9917,baseline,1.3852193,3.9957023
seq9918,baseline,1.3762635,3.960077
seq9919,baseline,1.4035488,4.069617
seq9920,baseline,1.3895259,4.012947
seq9921,baseline,1.3809797,3.9787977
seq9922,baseline,1.382283,3.9839866
seq9923,baseline,1.3829259,3.9865487
seq9924,baseline,1.3969219,4.0427365
seq9925,baseline,1.3869046,4.0024414
seq9926,baseline,1.3891951,4.01162
seq9927,baseline,1.3787936,3.9701092
seq9928,baseline,1.3829763,3.98675
seq9929,baseline,1.3875998,4.005225
seq9930,baseline,1.378088,3.9673092
seq9931,baseline,1.3834192,3.9885156
seq9932,baseline,1.3864727,4.000714
seq9933,baseline,1.3826125,3.9852996
seq9934,baseline,1.3875932,4.0051985
seq9935,baseline,1.3876945,4.0056043
seq9936,baseline,1.3878697,4.006306
seq9937,baseline,1.3806167,3.9773536
seq9938,baseline,1.3835984,3.9892309
seq9939,baseline,1.3775374,3.965125
seq9940,baseline,1.3821696,3.9835348
seq9941,baseline,1.3892019,4.0116467
seq9942,baseline,1.3791108,3.9713688
seq9943,baseline,1.3910125,4.018917
seq9944,baseline,1.3819844,3.9827971
seq9945,baseline,1.3823249,3.9841537
seq9946,baseline,1.3844621,3.9926775
seq9947,baseline,1.3950549,4.0351963
seq9948,baseline,1.3917252,4.0217824
seq9949,baseline,1.3840469,3.9910202
seq9950,baseline,1.3943204,4.032233
seq9951,baseline,1.3981766,4.047812
seq9952,baseline,1.390468,4.0167294
seq9953,baseline,1.3879814,4.006754
seq9954,baseline,1.3920528,4.0231
seq9955,baseline,1.3794723,3.9728048
seq9956,baseline,1.395516,4.0370574
seq9957,baseline,1.3922706,4.0239763
seq9958,baseline,1.3981907,4.0478697
seq9959,baseline,1.391116,4.019333
seq9960,baseline,1.3884985,4.0088267
seq9961,baseline,1.373272,3.948248
seq9962,baseline,1.3780726,3.9672477
seq9963,baseline,1.3768034,3.9622157
seq9964,baseline,1.3773203,3.9642642
seq9965,baseline,1.383958,3.9906652
seq9966,baseline,1.3845365,3.992975
seq9967,baseline,1.389895,4.014428
seq9968,baseline,1.3801655,3.9755592
seq9969,baseline,1.3829138,3.9865007
seq9970,baseline,1.38717,4.003504
seq9971,baseline,1.3817823,3.9819925
seq9972,baseline,1.3817073,3.981694
seq9973,baseline,1.3932261,4.0278234
seq9974,baseline,1.3818489,3.9822578
seq9975,baseline,1.375814,3.9582975
seq9976,baseline,1.3852459,3.9958084
seq9977,baseline,1.3997188,4.0540595
seq9978,baseline,1.3816675,3.981535
seq9979,baseline,1.379936,3.9746475
seq9980,baseline,1.3872575,4.0038543
seq9981,baseline,1.3850241,3.9949217
seq9982,baseline,1.3884022,4.00844
seq9983,baseline,1.3924341,4.0246344
seq9984,baseline,1.3919507,4.0226893
seq9985,baseline,1.3837622,3.9898844
seq9986,baseline,1.3838937,3.9904087
seq9987,baseline,1.37914,3.971485
seq9988,baseline,1.391821,4.0221677
seq9989,baseline,1.3905865,4.0172057
seq9990,baseline,1.3955204,4.037075
seq9991,baseline,1.3771327,3.9635208
seq9992,baseline,1.3826121,3.9852982
seq9993,baseline,1.3801795,3.9756153
seq9994,baseline,1.3845247,3.9929273
seq9995,baseline,1.3796356,3.9734533
seq9996,baseline,1.38492,3.9945064
seq9997,baseline,1.38163,3.981386
seq9998,baseline,1.3840687,3.9911072
seq9999,baseline,1.3846356,3.9933705
seq10000,baseline,1.3970501,4.0432553
seq0001,deletion,1.3138951,3.7206378
seq0002,deletion,1.3436661,3.83307
seq0003,deletion,1.1369668,3.1172986
seq0004,deletion,1.075388,2.9311297
seq0005,deletion,1.1735286,3.2333817
seq0006,deletion,1.1685418,3.2172976
seq0007,deletion,1.4720049,4.3579636
seq0008,deletion,1.5177916,4.5621395
seq0009,deletion,1.3414532,3.8245971
seq0010,deletion,1.2046283,3.335519
seq0011,deletion,1.0744096,2.9282632
seq0012,deletion,1.1214762,3.0693817
seq0013,deletion,1.3410053,3.8228848
seq0014,deletion,1.2027764,3.3293476
seq0015,deletion,1.3556626,3.8793306
seq0016,deletion,1.1901082,3.2874365
seq0017,deletion,1.3285801,3.7756789
seq0018,deletion,1.2702646,3.561795
seq0019,deletion,1.397255,4.0440836
seq0020,deletion,1.2345454,3.4368155
seq0021,deletion,1.1321068,3.102185
seq0022,deletion,1.2126034,3.3622267
seq0023,deletion,1.38685,4.002223
seq0024,deletion,1.5670569,4.7925224
seq0025,deletion,1.1435819,3.1379879
seq0026,deletion,1.4011047,4.059682
seq0027,deletion,1.3197361,3.7424335
seq0028,deletion,1.2633781,3.5373511
seq0029,deletion,1.1265525,3.0850022
seq0030,deletion,1.211378,3.3581088
seq0031,deletion,1.3195149,3.7416058
seq0032,deletion,1.1763688,3.2425785
seq0033,deletion,1.3241593,3.759024
seq0034,deletion,1.1881787,3.2810998
seq0035,deletion,1.3899271,4.0145574
seq0036,deletion,1.1021379,3.0105956
seq0037,deletion,1.2865684,3.6203415
seq0038,deletion,1.5016981,4.4893064
seq0039,deletion,1.3436474,3.8329983
seq0040,deletion,1.1037799,3.0155427
seq0041,deletion,1.443516,4.235562
seq0042,deletion,1.2607608,3.5281045
seq0043,deletion,1.3060485,3.6915576
seq0044,deletion,1.3633449,3.9092476
seq0045,deletion,1.2758985,3.581918
seq0046,deletion,1.292062,3.6402853
seq0047,deletion,1.1286858,3.091591
seq0048,deletion,1.4378573,4.211662
seq0049,deletion,1.1962714,3.3077605
seq0050,deletion,1.2913914,3.6378446
seq0051,deletion,1.3513584,3.8626692
seq0052,deletion,1.2400023,3.4556212
seq0053,deletion,1.1155689,3.0513036
seq0054,deletion,1.1917515,3.2928433
seq0055,deletion,1.4501489,4.2637496
seq0056,deletion,1.1493914,3.1562717
seq0057,deletion,1.4177802,4.127947
seq0058,deletion,1.1537157,3.1699495
seq0059,deletion,1.1717683,3.227695
seq0060,deletion,1.1778282,3.247314
seq0061,deletion,1.1818768,3.2604876
seq0062,deletion,1.0881498,2.9687757
seq0063,deletion,1.2899424,3.6325774
seq0064,deletion,1.4186954,4.1317267
seq0065,deletion,1.2754625,3.5803568
seq0066,deletion,1.340166,3.8196774
seq0067,deletion,1.4953632,4.4609566
seq0068,deletion,1.2646673,3.5419142
seq0069,deletion,1.122941,3.0738811
seq0070,deletion,1.2236087,3.399433
seq0071,deletion,1.3382634,3.812417
seq0072,deletion,1.0961925,2.9927492
seq0073,deletion,1.2262905,3.408562
seq0074,deletion,1.2688793,3.5568643
seq0075,deletion,1.2604545,3.5270243
seq0076,deletion,1.2996342,3.6679547
seq0077,deletion,1.252462,3.4989467
seq0078,deletion,1.4904113,4.438921
seq0079,deletion,1.3748183,3.954358
seq0080,deletion,1.2321205,3.428492
seq0081,deletion,1.2007277,3.3225336
seq0082,deletion,1.1848764,3.2702825
seq0083,deletion,1.3001931,3.670005
seq0084,deletion,1.0792301,2.942413
seq0085,deletion,1.2335423,3.43337
seq0086,deletion,1.1092895,3.032203
seq0087,deletion,1.3249973,3.762175
seq0088,deletion,1.3437479,3.8333833
seq0089,deletion,1.1165627,3.0543373
seq0090,deletion,1.2792165,3.593823
seq0091,deletion,1.2875891,3.624039
seq0092,deletion,1.2381519,3.449233
seq0093,deletion,1.2476395,3.482114
seq0094,deletion,1.2628905,3.5356264
seq0095,deletion,1.087223,2.9660258
seq0096,deletion,1.4017792,4.0624213
seq0097,deletion,1.170541,3.223736
seq0098,deletion,1.351076,3.8615785
seq0099,deletion,1.2555053,3.5096114
seq0100,deletion,1.1943882,3.301537
seq0101,deletion,1.3158821,3.728038
seq0102,deletion,1.1405298,3.1284251
seq0103,deletion,1.1819769,3.2608142
seq0104,deletion,1.3319618,3.788468
seq0105,deletion,1.122631,3.072928
seq0106,deletion,1.3419217,3.8263898
seq0107,deletion,1.1569692,3.18028
seq0108,deletion,1.1136699,3.0455143
seq0109,deletion,1.085902,2.9621103
seq0110,deletion,1.367545,3.9257016
seq0111,deletion,1.2027625,3.329301
seq0112,deletion,1.273574,3.5736017
seq0113,deletion,1.3597347,3.8951595
seq0114,deletion,1.1084785,3.029745
seq0115,deletion,1.0658921,2.9034278
seq0116,deletion,1.0826056,2.952362
seq0117,deletion,1.0753886,2.9311314
seq0118,deletion,1.1295719,3.0943315
seq0119,deletion,1.1224581,3.072397
seq0120,deletion,1.4286804,4.1731887
seq0121,deletion,1.3676028,3.9259284
seq0122,deletion,1.0932012,2.9838104
seq0123,deletion,1.3355433,3.802061
seq0124,deletion,1.3747792,3.9542036
seq0125,deletion,1.3758267,3.9583478
seq0126,deletion,1.1288203,3.092007
seq0127,deletion,1.2789092,3.5927186
seq0128,deletion,1.3430877,3.830854
seq0129,deletion,1.1585544,3.1853254
seq0130,deletion,1.2652167,3.5438607
seq0131,deletion,1.0983933,2.999343
seq0132,deletion,1.1257157,3.0824225
seq0133,deletion,1.093074,2.9834309
seq0134,deletion,1.1634506,3.2009594
seq0135,deletion,1.1851459,3.271164
seq0136,deletion,1.2795862,3.595152
seq0137,deletion,1.1065439,3.0238893
seq0138,deletion,1.4305478,4.1809893
seq0139,deletion,1.2979877,3.66192
seq0140,deletion,1.1454704,3.1439197
seq0141,deletion,1.1346797,3.1101768
seq0142,deletion,1.3409078,3.8225121
seq0143,deletion,1.207006,3.3434591
seq0144,deletion,1.3504931,3.8593278
seq0145,deletion,1.2328407,3.430962
seq0146,deletion,1.3539817,3.8728156
seq0147,deletion,1.4479303,4.2543006
seq0148,deletion,1.2149287,3.3700538
seq0149,deletion,1.1255928,3.0820432
seq0150,deletion,1.128368,3.0906086
seq0151,deletion,1.1746775,3.2370987
seq0152,deletion,1.5287315,4.612322
seq0153,deletion,1.1845138,3.269097
seq0154,deletion,1.315154,3.7253244
seq0155,deletion,1.2592698,3.5228481
seq0156,deletion,1.3099315,3.70592
seq0157,deletion,1.2608197,3.5283122
seq0158,deletion,1.2028272,3.329517
seq0159,deletion,1.2669396,3.5499716
seq0160,deletion,1.1959671,3.3067544
seq0161,deletion,1.2955222,3.6529033
seq0162,deletion,1.1460456,3.1457288
seq0163,deletion,1.1831902,3.264773
seq0164,deletion,1.1951576,3.3040786
seq0165,deletion,1.5000656,4.481983
seq0166,deletion,1.3675215,3.9256089
seq0167,deletion,1.1938726,3.2998352
seq0168,deletion,1.162411,3.1976333
seq0169,deletion,1.5443656,4.684999
seq0170,deletion,1.2746903,3.577593
seq0171,deletion,1.2812032,3.6009698
seq0172,deletion,1.3230587,3.754889
seq0173,deletion,1.1007291,3.006357
seq0174,deletion,1.2491293,3.4873052
seq0175,deletion,1.2408905,3.4586918
seq0176,deletion,1.194818,3.3029566
seq0177,deletion,1.3470454,3.8460453
seq0178,deletion,1.4446332,4.240297
seq0179,deletion,1.3442478,3.8353004
seq0180,deletion,1.3100783,3.7064636
seq0181,deletion,1.2875271,3.6238143
seq0182,deletion,1.2671958,3.5508814
seq0183,deletion,1.0952208,2.9898424
seq0184,deletion,1.3715243,3.941354
seq0185,deletion,1.2976352,3.6606297
seq0186,deletion,1.4399292,4.220397
seq0187,deletion,1.099991,3.0041387
seq0188,deletion,1.334428,3.7978227
seq0189,deletion,1.1785015,3.2495012
seq0190,deletion,1.0910171,2.977301
seq0191,deletion,1.253458,3.5024338
seq0192,deletion,1.2608013,3.5282476
seq0193,deletion,1.1587458,3.185935
seq0194,deletion,1.4462296,4.2470713
seq0195,deletion,1.2215083,3.3923004
seq0196,deletion,1.168773,3.2180417
seq0197,deletion,1.0573484,2.8787272
seq0198,deletion,1.3820206,3.9829414
seq0199,deletion,1.1799116,3.2540865
seq0200,deletion,1.3661466,3.9202154
seq0201,deletion,1.391657,4.0215077
seq0202,deletion,1.2494994,3.4885962
seq0203,deletion,1.2346683,3.437238
seq0204,deletion,1.2966512,3.6570296
seq0205,deletion,1.2422212,3.4632978
seq0206,deletion,1.3602471,3.8971565
seq0207,deletion,1.0813092,2.948537
seq0208,deletion,1.3466128,3.8443818
seq0209,deletion,1.438365,4.2138004
seq0210,deletion,1.2298653,3.4207687
seq0211,deletion,1.1874896,3.2788396
seq0212,deletion,1.2788434,3.592482
seq0213,deletion,1.1344231,3.1093795
seq0214,deletion,1.19209,3.2939587
seq0215,deletion,1.1218908,3.0706546
seq0216,deletion,1.3094356,3.7040825
seq0217,deletion,1.4119653,4.1040125
seq0218,deletion,1.0752765,2.9308028
seq0219,deletion,1.2968737,3.6578434
seq0220,deletion,1.2992675,3.66661
seq0221,deletion,1.3546864,3.8755455
seq0222,deletion,1.2778869,3.5890474
seq0223,deletion,1.1006037,3.00598
seq0224,deletion,1.2901362,3.6332812
seq0225,deletion,1.3942631,4.0320024
seq0226,deletion,1.2312388,3.4254704
seq0227,deletion,1.3536016,3.8713434
seq0228,deletion,1.1229279,3.0738409
seq0229,deletion,1.490711,4.4402514
seq0230,deletion,1.3638952,3.9113991
seq0231,deletion,1.0659041,2.903463
seq0232,deletion,1.1517093,3.163596
seq0233,deletion,1.1713012,3.2261877
seq0234,deletion,1.345476,3.840014
seq0235,deletion,1.1292323,3.0932808
seq0236,deletion,1.3358661,3.8032885
seq0237,deletion,1.1827897,3.2634656
seq0238,deletion,1.5055135,4.5064673
seq0239,deletion,1.1774883,3.2462103
seq0240,deletion,1.2720993,3.5683358
seq0241,deletion,1.1805716,3.2562346
seq0242,deletion,1.4369266,4.2077436
seq0243,deletion,1.2149175,3.3700163
seq0244,deletion,1.3278453,3.7729053
seq0245,deletion,1.1036237,3.0150719
seq0246,deletion,1.4226314,4.1480207
seq0247,deletion,1.290493,3.634578
seq0248,deletion,1.4863802,4.421063
seq0249,deletion,1.4914687,4.443617
seq0250,deletion,1.2550572,3.508039
seq0251,deletion,1.4530511,4.2761416
seq0252,deletion,1.5214528,4.5788727
seq0253,deletion,1.3936274,4.0294404
seq0254,deletion,1.2361382,3.4422946
seq0255,deletion,1.1265501,3.0849953
seq0256,deletion,1.2794559,3.5946832
seq0257,deletion,1.158146,3.1840248
seq0258,deletion,1.2728308,3.570947
seq0259,deletion,1.2907828,3.6356313
seq0260,deletion,1.3673797,3.9250522
seq0261,deletion,1.1212232,3.0686052
seq0262,deletion,1.2238791,3.4003525
seq0263,deletion,1.3630016,3.9079056
seq0264,deletion,1.1439643,3.1391885
seq0265,deletion,1.0770935,2.9361331
seq0266,deletion,1.160813,3.1925278
seq0267,deletion,1.1268854,3.0860298
seq0268,deletion,1.4332924,4.1924796
seq0269,deletion,1.2636386,3.5382726
seq0270,deletion,1.3339552,3.796028
seq0271,deletion,1.1219513,3.0708406
seq0272,deletion,1.4588425,4.300978
seq0273,deletion,1.3665941,3.92197
seq0274,deletion,1.1818757,3.2604842
seq0275,deletion,1.2014974,3.3250923
seq0276,deletion,1.1624573,3.1977818
seq0277,deletion,1.1052072,3.0198503
seq0278,deletion,1.3534685,3.8708284
seq0279,deletion,1.2453854,3.4742734
seq0280,deletion,1.2584949,3.520119
seq0281,deletion,1.1417224,3.1321585
seq0282,deletion,1.1016034,3.0089867
seq0283,deletion,1.2946794,3.6498258
seq0284,deletion,1.183504,3.2657976
seq0285,deletion,1.5017624,4.4895945
seq0286,deletion,1.4100181,4.0960298
seq0287,deletion,1.2521801,3.4979606
seq0288,deletion,1.4217203,4.1442432
seq0289,deletion,1.3240393,3.758573
seq0290,deletion,1.4766214,4.3781285
seq0291,deletion,1.1055638,3.020927
seq0292,deletion,1.1907471,3.2895381
seq0293,deletion,1.3652335,3.916638
seq0294,deletion,1.3646291,3.9142709
seq0295,deletion,1.1881678,3.281064
seq0296,deletion,1.348938,3.853331
seq0297,deletion,1.2904881,3.6345603
seq0298,deletion,1.2523514,3.49856
seq0299,deletion,1.2246563,3.4029963
seq0300,deletion,1.2989155,3.6653194
seq0301,deletion,1.1133627,3.044579
seq0302,deletion,1.1291629,3.0930662
seq0303,deletion,1.2917093,3.6390014
seq0304,deletion,1.4686428,4.3433366
seq0305,deletion,1.4228961,4.1491194
seq0306,deletion,1.2767196,3.5848606
seq0307,deletion,1.4191428,4.1335754
seq0308,deletion,1.4359467,4.2036223
seq0309,deletion,1.4228817,4.14906
seq0310,deletion,1.5094267,4.5241365
seq0311,deletion,1.3724219,3.944893
seq0312,deletion,1.2686071,3.5558963
seq0313,deletion,1.182653,3.2630193
seq0314,deletion,1.1833757,3.2653785
seq0315,deletion,1.33752,3.8095844
seq0316,deletion,1.0858885,2.9620702
seq0317,deletion,1.2408102,3.458414
seq0318,deletion,1.2318165,3.4274497
seq0319,deletion,1.1832832,3.2650766
seq0320,deletion,1.4360423,4.204025
seq0321,deletion,1.089536,2.972894
seq0322,deletion,1.4427792,4.2324424
seq0323,deletion,1.3420599,3.8269184
seq0324,deletion,1.1502438,3.1589627
seq0325,deletion,1.1066499,3.02421
seq0326,deletion,1.1217985,3.0703714
seq0327,deletion,1.1040996,3.0165071
seq0328,deletion,1.3340166,3.7962606
seq0329,deletion,1.338373,3.8128347
seq0330,deletion,1.2549049,3.5075045
seq0331,deletion,1.1473255,3.1497576
seq0332,deletion,1.5010155,4.486243
seq0333,deletion,1.1962608,3.3077257
seq0334,deletion,1.0808581,2.9472075
seq0335,deletion,1.2811991,3.600955
seq0336,deletion,1.2653425,3.5443065
seq0337,deletion,1.2716721,3.5668118
seq0338,deletion,1.1025727,3.0119045
seq0339,deletion,1.403046,4.067571
seq0340,deletion,1.3772628,3.9640367
seq0341,deletion,1.4276817,4.169023
seq0342,deletion,1.1152253,3.0502553
seq0343,deletion,1.3674688,3.9254024
seq0344,deletion,1.175367,3.2393315
seq0345,deletion,1.1448001,3.1418133
seq0346,deletion,1.2178148,3.379794
seq0347,deletion,1.138283,3.1214042
seq0348,deletion,1.0502859,2.8584683
seq0349,deletion,1.2369494,3.445088
seq0350,deletion,1.2469733,3.4797945
seq0351,deletion,1.1633545,3.200652
seq0352,deletion,1.1362638,3.115108
seq0353,deletion,1.4459419,4.2458496
seq0354,deletion,1.2045922,3.3353987
seq0355,deletion,1.2138513,3.366425
seq0356,deletion,1.1619307,3.1960976
seq0357,deletion,1.1988555,3.316319
seq0358,deletion,1.1526295,3.1665084
seq0359,deletion,1.2405587,3.4575448
seq0360,deletion,1.113747,3.0457494
seq0361,deletion,1.3232628,3.7556553
seq0362,deletion,1.2610444,3.5291052
seq0363,deletion,1.1333373,3.1060045
seq0364,deletion,1.3717687,3.9423172
seq0365,deletion,1.2785761,3.5915222
seq0366,deletion,1.321718,3.7498581
seq0367,deletion,1.1962156,3.3075762
seq0368,deletion,1.2588645,3.5214207
seq0369,deletion,1.3242495,3.7593627
seq0370,deletion,1.3605608,3.898379
seq0371,deletion,1.2154456,3.3717961
seq0372,deletion,1.1323302,3.102878
seq0373,deletion,1.1725458,3.2302055
seq0374,deletion,1.1971853,3.3107848
seq0375,deletion,1.3009484,3.672778
seq0376,deletion,1.1509008,3.161039
seq0377,deletion,1.12529,3.0811102
seq0378,deletion,1.089623,2.9731529
seq0379,deletion,1.2722129,3.568741
seq0380,deletion,1.470472,4.351289
seq0381,deletion,1.1422496,3.13381
seq0382,deletion,1.0829825,2.953475
seq0383,deletion,1.3242668,3.7594278
seq0384,deletion,1.1733583,3.2328312
seq0385,deletion,1.1716362,3.2272687
seq0386,deletion,1.5337211,4.6353936
seq0387,deletion,1.1133798,3.0446312
seq0388,deletion,1.3568697,3.8840165
seq0389,deletion,1.4563828,4.2904115
seq0390,deletion,1.1967486,3.3093393
seq0391,deletion,1.2451679,3.4735177
seq0392,deletion,1.282795,3.6067064
seq0393,deletion,1.4138169,4.111619
seq0394,deletion,1.4136167,4.110796
seq0395,deletion,1.2031901,3.3307252
seq0396,deletion,1.2598745,3.524979
seq0397,deletion,1.1771622,3.2451518
seq0398,deletion,1.4211917,4.1420536
seq0399,deletion,1.0607748,2.8886082
seq0400,deletion,1.2063111,3.3411365
seq0401,deletion,1.1675225,3.2140203
seq0402,deletion,1.3682935,3.9286406
seq0403,deletion,1.5052186,4.5051384
seq0404,deletion,1.3191056,3.740075
seq0405,deletion,1.2526191,3.4994965
seq0406,deletion,1.4599794,4.305871
seq0407,deletion,1.327348,3.7710295
seq0408,deletion,1.4631584,4.3195806
seq0409,deletion,1.2889684,3.6290412
seq0410,deletion,1.1992733,3.3177052
seq0411,deletion,1.4056529,4.0781884
seq0412,deletion,1.1625617,3.1981153
seq0413,deletion,1.1966406,3.3089821
seq0414,deletion,1.4187338,4.1318855
seq0415,deletion,1.0960122,2.9922097
seq0416,deletion,1.1199611,3.0647352
seq0417,deletion,1.3597491,3.895216
seq0418,deletion,1.211061,3.3570445
seq0419,deletion,1.2971556,3.6588745
seq0420,deletion,1.2780514,3.589638
seq0421,deletion,1.1579872,3.183519
seq0422,deletion,1.256581,3.5133884
seq0423,deletion,1.3541007,3.8732762
seq0424,deletion,1.0705247,2.9169097
seq0425,deletion,1.4398447,4.220041
seq0426,deletion,1.2833396,3.6086712
seq0427,deletion,1.3539076,3.8725283
seq0428,deletion,1.1541533,3.1713371
seq0429,deletion,1.1695946,3.2206867
seq0430,deletion,1.0876209,2.967206
seq0431,deletion,1.3068959,3.6946871
seq0432,deletion,1.1390505,3.1238008
seq0433,deletion,1.2076005,3.3454473
seq0434,deletion,1.1410882,3.130173
seq0435,deletion,1.2245232,3.4025433
seq0436,deletion,1.3025266,3.678579
seq0437,deletion,1.1923748,3.2948968
seq0438,deletion,1.2110385,3.356969
seq0439,deletion,1.3579301,3.8881369
seq0440,deletion,1.4372643,4.209165
seq0441,deletion,1.1115732,3.0391357
seq0442,deletion,1.1208029,3.0673158
seq0443,deletion,1.2906437,3.6351256
seq0444,deletion,1.279941,3.5964274
seq0445,deletion,1.4013817,4.0608068
seq0446,deletion,1.1598381,3.1894164
seq0447,deletion,1.2069533,3.3432834
seq0448,deletion,1.306582,3.6935277
seq0449,deletion,1.1116772,3.0394518
seq0450,deletion,1.4242505,4.1547422
seq0451,deletion,1.3346008,3.7984793
seq0452,deletion,1.0991948,3.0017476
seq0453,deletion,1.2773156,3.586998
seq0454,deletion,1.2066329,3.3422122
seq0455,deletion,1.203854,3.3329375
seq0456,deletion,1.1331245,3.1053438
seq0457,deletion,1.2042328,3.3342001
seq0458,deletion,1.3298833,3.7806022
seq0459,deletion,1.3412622,3.8238668
seq0460,deletion,1.2809694,3.600128
seq0461,deletion,1.1042291,3.016898
seq0462,deletion,1.5103961,4.5285244
seq0463,deletion,1.2844516,3.6126862
seq0464,deletion,1.1176243,3.0575817
seq0465,deletion,1.3368816,3.807153
seq0466,deletion,1.3263124,3.7671263
seq0467,deletion,1.4081148,4.088241
seq0468,deletion,1.379437,3.972664
seq0469,deletion,1.1042374,3.016923
seq0470,deletion,1.4902714,4.4383
seq0471,deletion,1.1356633,3.1132376
seq0472,deletion,1.2226089,3.3960361
seq0473,deletion,1.1240417,3.0772665
seq0474,deletion,1.2419411,3.4623275
seq0475,deletion,1.2257165,3.4066057
seq0476,deletion,1.2465824,3.4784343
seq0477,deletion,1.1522411,3.1652784
seq0478,deletion,1.1915084,3.2920432
seq0479,deletion,1.2418845,3.4621315
seq0480,deletion,1.2063448,3.3412492
seq0481,deletion,1.115381,3.0507302
seq0482,deletion,1.2071158,3.3438263
seq0483,deletion,1.4349084,4.19926
seq0484,deletion,1.2739664,3.5750046
seq0485,deletion,1.352272,3.8661997
seq0486,deletion,1.48965,4.4355426
seq0487,deletion,1.4557605,4.287743
seq0488,deletion,1.3394377,3.8168964
seq0489,deletion,1.3939404,4.0307016
seq0490,deletion,1.1015627,3.0088642
seq0491,deletion,1.4693322,4.346332
seq0492,deletion,1.3087581,3.701574
seq0493,deletion,1.1079673,3.0281966
